iter	Passed	Remaining
0	49	49902
1	50	25143
2	50	16852
3	51	12699
4	51	10206
5	51	8540
6	51	7354
7	52	6464
8	52	5771
9	52	5217
10	52	4763
11	53	4384
12	53	4063
13	53	3785
14	54	3546
15	54	3337
16	54	3152
17	54	2989
18	55	2849
19	55	2717
20	55	2601
21	56	2493
22	56	2393
23	56	2303
24	56	2219
25	57	2141
26	57	2069
27	57	2002
28	57	1939
29	58	1881
30	58	1826
31	58	1775
32	58	1727
33	59	1682
34	59	1640
35	59	1600
36	60	1562
37	60	1527
38	60	1492
39	60	1460
40	61	1429
41	61	1400
42	61	1372
43	61	1345
44	62	1319
45	62	1294
46	62	1270
47	62	1248
48	63	1226
49	63	1205
50	63	1185
51	63	1166
52	64	1147
53	64	1130
54	64	1112
55	65	1096
56	65	1080
57	65	1064
58	65	1049
59	66	1035
60	66	1021
61	66	1008
62	66	995
63	67	982
64	67	970
65	67	958
66	67	946
67	68	933
68	68	923
69	68	912
70	68	902
71	69	892
72	69	883
73	69	873
74	70	863
75	70	854
76	70	845
77	70	837
78	71	828
79	71	820
80	71	812
81	71	804
82	72	796
83	72	789
84	72	780
85	72	773
86	72	765
87	73	758
88	73	751
89	73	744
90	73	738
91	74	732
92	74	726
93	74	720
94	75	714
95	75	708
96	75	702
97	75	697
98	76	692
99	76	686
100	76	681
101	76	675
102	76	670
103	77	665
104	77	660
105	77	655
106	77	650
107	78	646
108	78	642
109	78	637
110	79	633
111	79	628
112	79	624
113	79	620
114	80	616
115	80	611
116	80	607
117	80	603
118	80	599
119	81	595
120	81	591
121	81	588
122	81	583
123	82	580
124	82	576
125	82	573
126	82	569
127	83	565
128	83	562
129	83	559
130	83	556
131	84	553
132	84	550
133	84	547
134	84	544
135	85	541
136	85	538
137	85	535
138	86	532
139	86	530
140	86	527
141	86	524
142	87	521
143	87	519
144	87	516
145	87	514
146	88	511
147	88	509
148	88	506
149	88	504
150	89	501
151	89	499
152	89	496
153	90	494
154	90	492
155	90	489
156	90	487
157	91	485
158	91	483
159	91	480
160	91	478
161	92	476
162	92	474
163	92	472
164	92	470
165	93	468
166	93	466
167	93	464
168	94	462
169	94	460
170	94	458
171	94	456
172	95	454
173	95	452
174	95	450
175	95	448
176	96	447
177	96	445
178	96	443
179	96	441
180	97	439
181	97	437
182	97	435
183	97	434
184	98	432
185	98	430
186	98	429
187	98	427
188	99	425
189	99	424
190	99	422
191	100	420
192	100	419
193	100	417
194	100	415
195	101	414
196	101	412
197	101	411
198	101	409
199	102	408
200	102	406
201	102	405
202	102	404
203	103	402
204	103	401
205	103	399
206	104	398
207	104	397
208	104	395
209	104	394
210	105	392
211	105	391
212	105	389
213	105	388
214	106	387
215	106	385
216	106	384
217	106	383
218	107	382
219	107	380
220	107	379
221	108	378
222	108	377
223	108	376
224	108	374
225	109	373
226	109	372
227	109	370
228	109	369
229	110	368
230	110	367
231	110	365
232	110	364
233	110	363
234	111	362
235	111	360
236	111	359
237	111	358
238	112	357
239	112	356
240	112	354
241	112	353
242	113	353
243	113	352
244	113	351
245	114	349
246	114	348
247	114	347
248	114	346
249	115	345
250	115	344
251	115	343
252	115	342
253	116	341
254	116	340
255	116	339
256	117	338
257	117	337
258	117	336
259	117	335
260	118	334
261	118	333
262	118	332
263	118	331
264	119	330
265	119	329
266	119	328
267	120	327
268	120	326
269	120	325
270	120	325
271	121	324
272	121	323
273	121	322
274	121	321
275	122	320
276	122	319
277	122	318
278	123	317
279	123	316
280	123	316
281	123	315
282	124	314
283	124	313
284	124	312
285	124	311
286	125	311
287	125	310
288	125	309
289	126	308
290	126	307
291	126	306
292	126	306
293	127	305
294	127	304
295	127	303
296	127	302
297	128	302
298	128	301
299	128	300
300	129	299
301	129	298
302	129	298
303	129	297
304	130	296
305	130	295
306	130	294
307	130	294
308	131	293
309	131	292
310	131	291
311	132	291
312	132	290
313	132	289
314	132	288
315	133	288
316	133	287
317	133	286
318	133	285
319	134	285
320	134	284
321	134	283
322	135	283
323	135	282
324	135	281
325	135	280
326	136	280
327	136	279
328	136	278
329	136	277
330	137	277
331	137	276
332	137	275
333	138	275
334	138	274
335	138	273
336	138	273
337	139	272
338	139	271
339	139	271
340	140	270
341	140	269
342	140	269
343	140	268
344	141	267
345	141	267
346	141	266
347	141	265
348	142	265
349	142	264
350	142	263
351	142	263
352	143	262
353	143	261
354	143	261
355	144	260
356	144	259
357	144	259
358	144	258
359	145	257
360	145	257
361	145	256
362	145	255
363	146	255
364	146	254
365	146	253
366	146	253
367	147	252
368	147	251
369	147	251
370	147	250
371	148	250
372	148	249
373	148	248
374	148	248
375	149	247
376	149	247
377	149	246
378	150	245
379	150	245
380	150	244
381	150	243
382	151	243
383	151	242
384	151	242
385	151	241
386	152	240
387	152	240
388	152	239
389	152	239
390	153	238
391	153	237
392	153	237
393	153	236
394	154	236
395	154	235
396	154	235
397	155	234
398	155	233
399	155	233
400	155	232
401	156	232
402	156	231
403	156	231
404	156	230
405	157	229
406	157	229
407	157	228
408	157	228
409	158	227
410	158	227
411	158	226
412	158	225
413	159	225
414	159	224
415	159	224
416	160	223
417	160	223
418	160	222
419	160	222
420	161	221
421	161	221
422	161	220
423	162	220
424	162	219
425	162	219
426	162	218
427	163	218
428	163	217
429	163	216
430	163	216
431	164	215
432	164	215
433	164	214
434	165	214
435	165	213
436	165	213
437	165	212
438	166	212
439	166	211
440	166	211
441	166	210
442	167	210
443	167	209
444	167	209
445	168	208
446	168	208
447	168	207
448	168	207
449	169	206
450	169	206
451	169	205
452	169	205
453	170	204
454	170	204
455	170	203
456	171	203
457	171	202
458	171	202
459	172	202
460	172	201
461	172	201
462	172	200
463	173	200
464	173	199
465	173	199
466	174	198
467	174	198
468	174	197
469	174	197
470	175	196
471	175	196
472	175	195
473	175	195
474	176	194
475	176	194
476	176	193
477	177	193
478	177	193
479	177	192
480	178	192
481	178	191
482	178	191
483	178	190
484	179	190
485	179	189
486	179	189
487	180	188
488	180	188
489	180	188
490	180	187
491	181	187
492	181	186
493	181	186
494	182	185
495	182	185
496	182	184
497	183	184
498	183	184
499	183	183
500	183	183
501	184	182
502	184	182
503	184	181
504	185	181
505	185	180
506	185	180
507	185	180
508	186	179
509	186	179
510	186	178
511	187	178
512	187	177
513	187	177
514	187	177
515	188	176
516	188	176
517	188	175
518	189	175
519	189	174
520	189	174
521	190	174
522	190	173
523	190	173
524	191	172
525	191	172
526	191	171
527	191	171
528	192	171
529	192	170
530	192	170
531	192	169
532	193	169
533	193	168
534	193	168
535	194	167
536	194	167
537	194	167
538	194	166
539	195	166
540	195	165
541	195	165
542	196	164
543	196	164
544	196	164
545	196	163
546	197	163
547	197	162
548	197	162
549	197	161
550	198	161
551	198	161
552	198	160
553	199	160
554	199	159
555	199	159
556	199	158
557	200	158
558	200	158
559	200	157
560	200	157
561	201	156
562	201	156
563	201	155
564	201	155
565	202	154
566	202	154
567	202	154
568	202	153
569	203	153
570	203	152
571	203	152
572	203	151
573	204	151
574	204	151
575	204	150
576	204	150
577	205	149
578	205	149
579	205	148
580	205	148
581	206	148
582	206	147
583	206	147
584	206	146
585	207	146
586	207	145
587	207	145
588	207	145
589	208	144
590	208	144
591	208	143
592	209	143
593	209	143
594	209	142
595	209	142
596	209	141
597	210	141
598	210	140
599	210	140
600	210	140
601	211	139
602	211	139
603	211	138
604	211	138
605	212	137
606	212	137
607	212	137
608	212	136
609	213	136
610	213	135
611	213	135
612	214	135
613	214	134
614	214	134
615	214	133
616	215	133
617	215	133
618	215	132
619	215	132
620	216	131
621	216	131
622	216	131
623	216	130
624	217	130
625	217	129
626	217	129
627	217	128
628	217	128
629	218	128
630	218	127
631	218	127
632	219	127
633	219	126
634	219	126
635	219	125
636	220	125
637	220	125
638	220	124
639	221	124
640	221	123
641	221	123
642	221	123
643	222	122
644	222	122
645	222	121
646	222	121
647	223	121
648	223	120
649	223	120
650	223	120
651	224	119
652	224	119
653	224	118
654	224	118
655	225	118
656	225	117
657	225	117
658	226	116
659	226	116
660	226	116
661	226	115
662	227	115
663	227	115
664	227	114
665	227	114
666	228	113
667	228	113
668	228	113
669	228	112
670	229	112
671	229	111
672	229	111
673	229	111
674	230	110
675	230	110
676	230	110
677	230	109
678	231	109
679	231	108
680	231	108
681	232	108
682	232	107
683	232	107
684	232	107
685	233	106
686	233	106
687	233	105
688	233	105
689	234	105
690	234	104
691	234	104
692	234	104
693	235	103
694	235	103
695	235	102
696	235	102
697	236	102
698	236	101
699	236	101
700	237	101
701	237	100
702	237	100
703	237	100
704	238	99
705	238	99
706	238	98
707	238	98
708	239	98
709	239	97
710	239	97
711	239	97
712	240	96
713	240	96
714	240	95
715	240	95
716	241	95
717	241	94
718	241	94
719	241	94
720	242	93
721	242	93
722	242	93
723	243	92
724	243	92
725	243	91
726	243	91
727	244	91
728	244	90
729	244	90
730	244	90
731	245	89
732	245	89
733	245	89
734	245	88
735	246	88
736	246	87
737	246	87
738	246	87
739	247	86
740	247	86
741	247	86
742	248	85
743	248	85
744	248	85
745	249	84
746	249	84
747	249	84
748	249	83
749	250	83
750	250	83
751	250	82
752	250	82
753	251	81
754	251	81
755	251	81
756	251	80
757	252	80
758	252	80
759	252	79
760	252	79
761	253	79
762	253	78
763	253	78
764	253	77
765	254	77
766	254	77
767	254	76
768	254	76
769	255	76
770	255	75
771	255	75
772	256	75
773	256	74
774	256	74
775	256	74
776	257	73
777	257	73
778	257	73
779	257	72
780	258	72
781	258	72
782	258	71
783	258	71
784	259	70
785	259	70
786	259	70
787	259	69
788	260	69
789	260	69
790	260	68
791	261	68
792	261	68
793	261	67
794	261	67
795	262	67
796	262	66
797	262	66
798	262	66
799	263	65
800	263	65
801	263	65
802	263	64
803	264	64
804	264	64
805	264	63
806	264	63
807	265	63
808	265	62
809	265	62
810	265	61
811	266	61
812	266	61
813	266	60
814	266	60
815	267	60
816	267	59
817	267	59
818	268	59
819	268	58
820	268	58
821	268	58
822	269	57
823	269	57
824	269	57
825	269	56
826	270	56
827	270	56
828	270	55
829	270	55
830	271	55
831	271	54
832	271	54
833	272	54
834	272	53
835	272	53
836	273	53
837	273	52
838	273	52
839	273	52
840	274	51
841	274	51
842	274	51
843	274	50
844	275	50
845	275	50
846	275	49
847	276	49
848	276	49
849	276	48
850	276	48
851	277	48
852	277	47
853	277	47
854	277	47
855	278	46
856	278	46
857	278	46
858	279	45
859	279	45
860	279	45
861	279	44
862	280	44
863	280	44
864	280	43
865	281	43
866	281	43
867	281	42
868	281	42
869	282	42
870	282	41
871	282	41
872	282	41
873	283	40
874	283	40
875	283	40
876	283	39
877	284	39
878	284	39
879	284	38
880	285	38
881	285	38
882	285	37
883	285	37
884	286	37
885	286	36
886	286	36
887	286	36
888	287	35
889	287	35
890	287	35
891	288	34
892	288	34
893	288	34
894	288	33
895	289	33
896	289	33
897	289	32
898	289	32
899	290	32
900	290	31
901	290	31
902	291	31
903	291	30
904	291	30
905	291	30
906	292	29
907	292	29
908	292	29
909	292	28
910	293	28
911	293	28
912	293	27
913	293	27
914	294	27
915	294	27
916	294	26
917	295	26
918	295	26
919	295	25
920	295	25
921	296	25
922	296	24
923	296	24
924	296	24
925	297	23
926	297	23
927	297	23
928	298	22
929	298	22
930	298	22
931	298	21
932	299	21
933	299	21
934	299	20
935	299	20
936	300	20
937	300	19
938	300	19
939	300	19
940	301	18
941	301	18
942	301	18
943	302	17
944	302	17
945	302	17
946	302	16
947	303	16
948	303	16
949	303	15
950	303	15
951	304	15
952	304	15
953	304	14
954	305	14
955	305	14
956	305	13
957	305	13
958	306	13
959	306	12
960	306	12
961	306	12
962	307	11
963	307	11
964	307	11
965	308	10
966	308	10
967	308	10
968	308	9
969	309	9
970	309	9
971	309	8
972	309	8
973	310	8
974	310	7
975	310	7
976	310	7
977	311	7
978	311	6
979	311	6
980	311	6
981	312	5
982	312	5
983	312	5
984	313	4
985	313	4
986	313	4
987	313	3
988	314	3
989	314	3
990	314	2
991	314	2
992	315	2
993	315	1
994	315	1
995	315	1
996	316	0
997	316	0
998	316	0
999	317	0
