iter	Passed	Remaining
0	0	525
1	0	439
2	1	386
3	1	360
4	1	341
5	1	329
6	2	318
7	2	316
8	2	312
9	3	306
10	3	303
11	3	300
12	3	301
13	4	300
14	4	298
15	4	295
16	5	293
17	5	290
18	5	287
19	5	285
20	6	283
21	6	281
22	6	280
23	6	278
24	7	277
25	7	276
26	7	274
27	7	273
28	8	271
29	8	270
30	8	270
31	8	269
32	9	268
33	9	267
34	9	266
35	9	266
36	10	265
37	10	265
38	10	264
39	10	263
40	11	262
41	11	261
42	11	261
43	11	260
44	12	259
45	12	259
46	12	258
47	13	257
48	13	257
49	13	256
50	13	256
51	14	255
52	14	255
53	14	254
54	14	254
55	15	253
56	15	253
57	15	252
58	15	251
59	16	251
60	16	251
61	16	251
62	16	250
63	17	250
64	17	250
65	17	250
66	17	250
67	18	250
68	18	249
69	18	249
70	19	248
71	19	248
72	19	248
73	19	247
74	20	247
75	20	246
76	20	246
77	20	245
78	21	245
79	21	244
80	21	244
81	21	244
82	21	242
83	22	242
84	22	241
85	22	241
86	22	241
87	23	240
88	23	240
89	23	239
90	23	239
91	24	239
92	24	238
93	24	238
94	24	238
95	25	237
96	25	237
97	25	237
98	26	236
99	26	236
100	26	236
101	26	236
102	27	236
103	27	236
104	27	236
105	27	235
106	28	235
107	28	235
108	28	234
109	28	234
110	29	234
111	29	234
112	29	233
113	30	233
114	30	233
115	31	238
116	31	237
117	31	237
118	32	237
119	32	237
120	32	237
121	32	236
122	33	236
123	33	235
124	33	235
125	33	235
126	34	234
127	34	234
128	34	233
129	34	233
130	35	233
131	35	233
132	35	232
133	35	232
134	36	231
135	36	231
136	36	231
137	37	231
138	37	230
139	37	230
140	37	230
141	37	229
142	38	229
143	38	228
144	38	228
145	39	228
146	39	227
147	39	227
148	39	227
149	40	227
150	40	226
151	40	226
152	40	226
153	41	225
154	41	225
155	41	225
156	41	224
157	42	224
158	42	224
159	42	223
160	42	223
161	43	222
162	43	222
163	43	222
164	43	221
165	44	221
166	44	221
167	44	221
168	44	220
169	45	220
170	45	220
171	45	220
172	46	220
173	46	220
174	46	220
175	46	219
176	47	219
177	47	219
178	47	218
179	47	218
180	48	218
181	48	218
182	48	218
183	49	217
184	49	217
185	49	217
186	49	216
187	50	216
188	50	216
189	50	216
190	50	215
191	51	215
192	51	215
193	51	214
194	51	214
195	52	214
196	52	213
197	52	213
198	53	213
199	53	213
200	53	212
201	53	212
202	54	212
203	54	211
204	54	211
205	54	211
206	55	210
207	55	210
208	55	210
209	55	210
210	56	209
211	56	209
212	56	209
213	56	209
214	57	208
215	57	208
216	57	208
217	57	207
218	58	207
219	58	207
220	58	206
221	58	206
222	59	206
223	59	206
224	59	205
225	60	205
226	60	205
227	60	205
228	60	205
229	61	204
230	61	204
231	61	204
232	61	204
233	62	203
234	62	203
235	62	203
236	62	202
237	63	202
238	63	202
239	63	201
240	63	201
241	64	201
242	64	200
243	64	200
244	65	200
245	65	200
246	65	199
247	65	199
248	66	199
249	66	198
250	66	198
251	66	198
252	67	197
253	67	197
254	67	197
255	67	197
256	68	196
257	68	196
258	68	196
259	68	196
260	69	195
261	69	195
262	69	195
263	69	195
264	70	194
265	70	194
266	70	194
267	70	193
268	71	193
269	71	193
270	71	193
271	72	192
272	72	192
273	72	192
274	72	191
275	73	191
276	73	191
277	73	191
278	73	190
279	74	190
280	74	190
281	74	190
282	75	190
283	75	189
284	75	189
285	75	189
286	76	189
287	76	188
288	76	188
289	76	188
290	77	187
291	77	187
292	77	187
293	77	187
294	78	186
295	78	186
296	78	186
297	79	186
298	79	185
299	79	185
300	79	185
301	80	185
302	80	185
303	80	184
304	80	184
305	81	184
306	81	183
307	81	183
308	82	183
309	82	183
310	82	182
311	82	182
312	83	182
313	83	182
314	83	181
315	83	181
316	84	181
317	84	181
318	84	180
319	84	180
320	85	180
321	85	180
322	85	179
323	86	179
324	86	179
325	86	179
326	87	179
327	87	178
328	87	178
329	87	178
330	88	178
331	88	177
332	88	177
333	89	177
334	89	177
335	89	177
336	89	176
337	90	176
338	90	176
339	90	176
340	91	175
341	91	175
342	91	175
343	91	175
344	92	174
345	92	174
346	92	174
347	92	174
348	93	173
349	93	173
350	93	173
351	94	173
352	94	173
353	94	172
354	94	172
355	95	172
356	95	171
357	95	171
358	96	171
359	96	171
360	96	170
361	96	170
362	97	170
363	97	170
364	97	169
365	97	169
366	98	169
367	98	169
368	98	168
369	99	168
370	99	168
371	99	168
372	99	167
373	100	167
374	100	167
375	100	167
376	100	166
377	101	166
378	101	166
379	101	166
380	102	165
381	102	165
382	102	165
383	102	165
384	103	164
385	103	164
386	103	164
387	104	164
388	104	163
389	104	163
390	104	163
391	105	162
392	105	162
393	105	162
394	105	162
395	106	161
396	106	161
397	106	161
398	106	161
399	107	160
400	107	160
401	107	160
402	107	159
403	108	159
404	108	159
405	108	159
406	108	158
407	109	158
408	109	158
409	109	157
410	109	157
411	110	157
412	110	157
413	110	156
414	111	156
415	111	156
416	111	155
417	111	155
418	112	155
419	112	155
420	112	154
421	112	154
422	113	154
423	113	153
424	113	153
425	113	153
426	114	153
427	114	152
428	114	152
429	114	152
430	115	152
431	115	151
432	115	151
433	115	151
434	116	150
435	116	150
436	116	150
437	117	150
438	117	149
439	117	149
440	117	149
441	118	148
442	118	148
443	118	148
444	118	148
445	119	147
446	119	147
447	119	147
448	119	147
449	120	146
450	120	146
451	120	146
452	120	145
453	121	145
454	121	145
455	121	145
456	121	144
457	122	144
458	122	144
459	122	144
460	122	143
461	123	143
462	123	143
463	123	142
464	123	142
465	124	142
466	124	142
467	124	141
468	124	141
469	125	141
470	125	140
471	125	140
472	125	140
473	126	140
474	126	139
475	126	139
476	126	139
477	127	138
478	127	138
479	127	138
480	127	138
481	128	137
482	128	137
483	128	137
484	128	136
485	129	136
486	129	136
487	129	136
488	130	135
489	130	135
490	130	135
491	130	135
492	131	135
493	132	135
494	132	135
495	132	134
496	132	134
497	133	134
498	133	134
499	133	133
500	134	133
501	134	133
502	134	132
503	134	132
504	135	132
505	135	132
506	135	131
507	135	131
508	136	131
509	136	130
510	136	130
511	136	130
512	137	130
513	137	129
514	137	129
515	137	129
516	138	129
517	138	128
518	138	128
519	138	128
520	139	127
521	139	127
522	139	127
523	139	127
524	140	126
525	140	126
526	140	126
527	140	125
528	141	125
529	141	125
530	141	125
531	141	124
532	142	124
533	142	124
534	142	124
535	143	123
536	143	123
537	143	123
538	143	123
539	144	122
540	144	122
541	144	122
542	145	122
543	145	121
544	145	121
545	145	121
546	146	121
547	146	120
548	146	120
549	147	120
550	147	120
551	147	119
552	147	119
553	148	119
554	148	119
555	148	118
556	149	118
557	149	118
558	149	117
559	149	117
560	150	117
561	150	117
562	150	116
563	150	116
564	151	116
565	151	116
566	151	115
567	152	115
568	152	115
569	152	115
570	152	114
571	153	114
572	153	114
573	153	114
574	153	113
575	154	113
576	154	113
577	154	113
578	155	112
579	155	112
580	155	112
581	155	111
582	156	111
583	156	111
584	156	111
585	157	110
586	157	110
587	157	110
588	157	110
589	158	109
590	158	109
591	158	109
592	159	109
593	159	108
594	159	108
595	160	108
596	160	108
597	160	107
598	160	107
599	161	107
600	161	107
601	161	106
602	161	106
603	162	106
604	162	106
605	162	105
606	163	105
607	163	105
608	163	105
609	163	104
610	164	104
611	164	104
612	164	103
613	164	103
614	165	103
615	165	103
616	165	102
617	166	102
618	166	102
619	166	102
620	166	101
621	167	101
622	167	101
623	167	101
624	167	100
625	168	100
626	168	100
627	168	99
628	169	99
629	169	99
630	169	99
631	169	98
632	170	98
633	170	98
634	170	98
635	170	97
636	171	97
637	171	97
638	171	97
639	172	96
640	172	96
641	172	96
642	172	95
643	173	95
644	173	95
645	173	95
646	174	94
647	174	94
648	174	94
649	174	94
650	175	93
651	175	93
652	175	93
653	175	93
654	176	92
655	176	92
656	176	92
657	176	91
658	177	91
659	177	91
660	177	91
661	177	90
662	178	90
663	178	90
664	178	90
665	179	89
666	179	89
667	179	89
668	179	88
669	180	88
670	180	88
671	180	88
672	180	87
673	181	87
674	181	87
675	181	87
676	182	86
677	182	86
678	182	86
679	182	86
680	183	85
681	183	85
682	183	85
683	183	84
684	184	84
685	184	84
686	184	84
687	184	83
688	185	83
689	185	83
690	185	83
691	186	82
692	186	82
693	186	82
694	186	82
695	187	81
696	187	81
697	187	81
698	187	80
699	188	80
700	188	80
701	188	80
702	189	79
703	189	79
704	189	79
705	189	79
706	190	78
707	190	78
708	190	78
709	190	77
710	191	77
711	191	77
712	191	77
713	191	76
714	192	76
715	192	76
716	192	76
717	193	75
718	193	75
719	193	75
720	193	74
721	194	74
722	194	74
723	194	74
724	194	73
725	195	73
726	195	73
727	195	73
728	195	72
729	196	72
730	196	72
731	196	72
732	197	71
733	197	71
734	197	71
735	197	70
736	198	70
737	198	70
738	198	70
739	199	69
740	199	69
741	199	69
742	199	69
743	200	68
744	200	68
745	200	68
746	201	68
747	201	67
748	201	67
749	201	67
750	202	67
751	202	66
752	202	66
753	203	66
754	203	65
755	203	65
756	203	65
757	204	65
758	204	64
759	204	64
760	204	64
761	205	64
762	205	63
763	205	63
764	206	63
765	206	63
766	206	62
767	206	62
768	207	62
769	207	61
770	207	61
771	207	61
772	208	61
773	208	60
774	208	60
775	209	60
776	209	60
777	209	59
778	209	59
779	210	59
780	210	59
781	210	58
782	210	58
783	211	58
784	211	57
785	211	57
786	212	57
787	212	57
788	212	56
789	212	56
790	213	56
791	213	56
792	213	55
793	213	55
794	214	55
795	214	54
796	214	54
797	215	54
798	215	54
799	215	53
800	215	53
801	216	53
802	216	53
803	216	52
804	217	52
805	217	52
806	217	52
807	217	51
808	218	51
809	218	51
810	218	50
811	218	50
812	219	50
813	219	50
814	219	49
815	219	49
816	220	49
817	220	49
818	220	48
819	221	48
820	221	48
821	221	47
822	222	47
823	222	47
824	222	47
825	222	46
826	223	46
827	223	46
828	223	46
829	224	45
830	224	45
831	224	45
832	225	45
833	225	44
834	225	44
835	226	44
836	226	44
837	226	43
838	227	43
839	227	43
840	227	43
841	228	42
842	228	42
843	228	42
844	229	42
845	229	41
846	229	41
847	230	41
848	230	41
849	230	40
850	231	40
851	231	40
852	231	39
853	232	39
854	232	39
855	232	39
856	233	38
857	233	38
858	233	38
859	234	38
860	234	37
861	234	37
862	235	37
863	235	37
864	235	36
865	236	36
866	236	36
867	236	36
868	237	35
869	237	35
870	237	35
871	238	34
872	238	34
873	238	34
874	239	34
875	239	33
876	239	33
877	240	33
878	240	33
879	240	32
880	241	32
881	241	32
882	241	32
883	242	31
884	242	31
885	242	31
886	243	30
887	243	30
888	243	30
889	244	30
890	244	29
891	244	29
892	245	29
893	245	29
894	245	28
895	245	28
896	246	28
897	246	27
898	246	27
899	247	27
900	247	27
901	247	26
902	247	26
903	248	26
904	248	26
905	248	25
906	248	25
907	249	25
908	249	24
909	249	24
910	250	24
911	250	24
912	250	23
913	250	23
914	251	23
915	251	23
916	251	22
917	252	22
918	252	22
919	252	21
920	252	21
921	253	21
922	253	21
923	253	20
924	253	20
925	254	20
926	254	20
927	254	19
928	254	19
929	255	19
930	255	18
931	255	18
932	256	18
933	256	18
934	256	17
935	256	17
936	257	17
937	257	17
938	257	16
939	258	16
940	258	16
941	258	15
942	258	15
943	259	15
944	259	15
945	259	14
946	259	14
947	260	14
948	260	13
949	260	13
950	260	13
951	261	13
952	261	12
953	261	12
954	262	12
955	262	12
956	262	11
957	262	11
958	263	11
959	263	10
960	263	10
961	263	10
962	264	10
963	264	9
964	264	9
965	264	9
966	265	9
967	265	8
968	265	8
969	265	8
970	266	7
971	266	7
972	266	7
973	267	7
974	267	6
975	267	6
976	267	6
977	268	6
978	268	5
979	268	5
980	268	5
981	269	4
982	269	4
983	269	4
984	269	4
985	270	3
986	270	3
987	270	3
988	270	3
989	271	2
990	271	2
991	271	2
992	272	1
993	272	1
994	272	1
995	272	1
996	273	0
997	273	0
998	273	0
999	273	0
